kWp,battery,NPV,peak_ratio,filtered,best_battery
16.2,BAT-23,563841349.9648763,1.6656684703655666,ok,False
16.2,BAT-15,560890294.0145673,1.6656684703655666,ok,False
16.2,BAT-10,535524482.1522658,1.6656684703655666,ok,False
16.2,BAT-5,500493202.6822169,1.6656684703655666,ok,False
16.2,None,455669108.2014264,1.6656684703655666,ok,False
16.8,BAT-32,576112977.2135564,1.7273598951939209,ok,True
16.8,BAT-31,576109022.5847782,1.7273598951939209,ok,False
16.8,BAT-30,576100083.3467609,1.7273598951939209,ok,False
16.8,BAT-29,576086057.426091,1.7273598951939209,ok,False
16.8,BAT-28,576068826.1500204,1.7273598951939209,ok,False
16.8,BAT-26,576036832.6250405,1.7273598951939209,ok,False
16.8,BAT-27,576035645.8526132,1.7273598951939209,ok,False
16.8,BAT-24,576029688.7776706,1.7273598951939209,ok,False
16.8,BAT-25,576028391.769933,1.7273598951939209,ok,False
16.8,BAT-23,576021631.0419763,1.7273598951939209,ok,False
16.8,BAT-22,576007023.2140528,1.7273598951939209,ok,False
16.8,BAT-20,576004692.8486862,1.7273598951939209,ok,False
16.8,BAT-21,576004402.0719861,1.7273598951939209,ok,False
16.8,BAT-15,570662977.4266071,1.7273598951939209,ok,False
16.8,BAT-10,539642100.8277913,1.7273598951939209,ok,False
16.8,BAT-5,503980675.4446505,1.7273598951939209,ok,False
16.8,None,459388922.04149556,1.7273598951939209,ok,False
17.4,BAT-32,584324045.7573369,1.7890513200222753,ok,True
17.4,BAT-31,584318392.9900097,1.7890513200222753,ok,False
17.4,BAT-30,584309383.0878836,1.7890513200222753,ok,False
17.4,BAT-29,584295426.8767633,1.7890513200222753,ok,False
17.4,BAT-28,584279147.9087063,1.7890513200222753,ok,False
17.4,BAT-27,584258097.8761276,1.7890513200222753,ok,False
17.4,BAT-26,584257972.2956934,1.7890513200222753,ok,False
17.4,BAT-24,584250199.6052384,1.7890513200222753,ok,False
17.4,BAT-25,584249539.5589306,1.7890513200222753,ok,False
17.4,BAT-23,584242211.1718262,1.7890513200222753,ok,False
17.4,BAT-22,584233026.9421183,1.7890513200222753,ok,False
17.4,BAT-20,584230076.9567115,1.7890513200222753,ok,False
17.4,BAT-21,584229794.7166914,1.7890513200222753,ok,False
17.4,BAT-15,576855660.6681632,1.7890513200222753,ok,False
17.4,BAT-10,542629858.326962,1.7890513200222753,ok,False
17.4,BAT-5,506938350.4304813,1.7890513200222753,ok,False
17.4,None,462412158.4184565,1.7890513200222753,ok,False
18.0,BAT-32,589296271.5870788,1.8507427448506295,ok,True
18.0,BAT-31,589288091.478224,1.8507427448506295,ok,False
18.0,BAT-29,589278245.4630122,1.8507427448506295,ok,False
18.0,BAT-30,589276204.875961,1.8507427448506295,ok,False
18.0,BAT-28,589263914.7562329,1.8507427448506295,ok,False
18.0,BAT-27,589263236.4543463,1.8507427448506295,ok,False
18.0,BAT-26,589254049.459993,1.8507427448506295,ok,False
18.0,BAT-25,589250766.0630859,1.8507427448506295,ok,False
18.0,BAT-24,589242518.6708212,1.8507427448506295,ok,False
18.0,BAT-23,589235614.0705687,1.8507427448506295,ok,False
18.0,BAT-22,589234292.8747336,1.8507427448506295,ok,False
18.0,BAT-20,589232178.2012662,1.8507427448506295,ok,False
18.0,BAT-21,589232110.3920295,1.8507427448506295,ok,False
18.0,BAT-15,580546353.0533041,1.8507427448506295,ok,False
18.0,BAT-10,545077343.3817682,1.8507427448506295,ok,False
18.0,BAT-5,509385835.4852861,1.8507427448506295,ok,False
18.0,None,464957269.17576844,1.8507427448506295,ok,False
18.6,BAT-30,592037692.2900175,1.9124341696789842,ok,True
18.6,BAT-31,592036732.6153774,1.9124341696789842,ok,False
18.6,BAT-32,592036732.6153774,1.9124341696789842,ok,False
18.6,BAT-29,592026660.3903226,1.9124341696789842,ok,False
18.6,BAT-28,592023118.2445128,1.9124341696789842,ok,False
18.6,BAT-24,592013383.8133569,1.9124341696789842,ok,False
18.6,BAT-25,592012248.0885229,1.9124341696789842,ok,False
18.6,BAT-26,592012248.0885229,1.9124341696789842,ok,False
18.6,BAT-27,592010753.9666833,1.9124341696789842,ok,False
18.6,BAT-23,592006645.5309607,1.9124341696789842,ok,False
18.6,BAT-22,592005368.607216,1.9124341696789842,ok,False
18.6,BAT-21,592003115.869108,1.9124341696789842,ok,False
18.6,BAT-20,592002106.0820962,1.9124341696789842,ok,False
18.6,BAT-15,582727401.2742046,1.9124341696789842,ok,False
18.6,BAT-10,547035893.3777229,1.9124341696789842,ok,False
18.6,BAT-5,511344385.48124176,1.9124341696789842,ok,False
18.6,None,467213261.43410885,1.9124341696789842,ok,False
