scan_order,candidate_key,kWp,battery,NPV_COP,payback_years,capex_client,self_consumption_ratio,self_sufficiency_ratio,annual_import_kwh,annual_export_kwh,peak_ratio,best_battery_for_kwp
152,9.000::BAT-32,9.0,BAT-32,312704934.770241,3.75,47700000.0,0.5869142083053607,0.5869142083053607,10128.863612352556,0.0,0.9253713724253148,False
136,9.000::None,9.0,None,302411686.6062791,3.9166666666666665,47700000.0,0.5641309900682892,0.5641309900682892,10687.50812352555,620.7161235255471,0.9253713724253148,False
154,9.600::BAT-5,9.6,BAT-5,333347097.2652934,3.75,50880000.0,0.6256841151285165,0.6256841151285164,9178.22549704878,0.0,0.9870627972536687,True
155,9.600::BAT-10,9.6,BAT-10,333347097.2652934,3.75,50880000.0,0.6256841151285165,0.6256841151285164,9178.22549704878,0.0,0.9870627972536687,False
156,9.600::BAT-15,9.6,BAT-15,333347097.2652934,3.75,50880000.0,0.6256841151285165,0.6256841151285164,9178.22549704878,0.0,0.9870627972536687,False
157,9.600::BAT-20,9.6,BAT-20,333347097.2652934,3.75,50880000.0,0.6256841151285165,0.6256841151285164,9178.22549704878,0.0,0.9870627972536687,False
158,9.600::BAT-21,9.6,BAT-21,333347097.2652934,3.75,50880000.0,0.6256841151285165,0.6256841151285164,9178.22549704878,0.0,0.9870627972536687,False
159,9.600::BAT-22,9.6,BAT-22,333347097.2652934,3.75,50880000.0,0.6256841151285165,0.6256841151285164,9178.22549704878,0.0,0.9870627972536687,False
160,9.600::BAT-23,9.6,BAT-23,333347097.2652934,3.75,50880000.0,0.6256841151285165,0.6256841151285164,9178.22549704878,0.0,0.9870627972536687,False
161,9.600::BAT-24,9.6,BAT-24,333347097.2652934,3.75,50880000.0,0.6256841151285165,0.6256841151285164,9178.22549704878,0.0,0.9870627972536687,False
162,9.600::BAT-25,9.6,BAT-25,333347097.2652934,3.75,50880000.0,0.6256841151285165,0.6256841151285164,9178.22549704878,0.0,0.9870627972536687,False
163,9.600::BAT-26,9.6,BAT-26,333347097.2652934,3.75,50880000.0,0.6256841151285165,0.6256841151285164,9178.22549704878,0.0,0.9870627972536687,False
164,9.600::BAT-27,9.6,BAT-27,333347097.2652934,3.75,50880000.0,0.6256841151285165,0.6256841151285164,9178.22549704878,0.0,0.9870627972536687,False
165,9.600::BAT-28,9.6,BAT-28,333347097.2652934,3.75,50880000.0,0.6256841151285165,0.6256841151285164,9178.22549704878,0.0,0.9870627972536687,False
166,9.600::BAT-29,9.6,BAT-29,333347097.2652934,3.75,50880000.0,0.6256841151285165,0.6256841151285164,9178.22549704878,0.0,0.9870627972536687,False
167,9.600::BAT-30,9.6,BAT-30,333347097.2652934,3.75,50880000.0,0.6256841151285165,0.6256841151285164,9178.22549704878,0.0,0.9870627972536687,False
168,9.600::BAT-31,9.6,BAT-31,333347097.2652934,3.75,50880000.0,0.6256841151285165,0.6256841151285164,9178.22549704878,0.0,0.9870627972536687,False
169,9.600::BAT-32,9.6,BAT-32,333347097.2652934,3.75,50880000.0,0.6256841151285165,0.6256841151285164,9178.22549704878,0.0,0.9870627972536687,False
153,9.600::None,9.6,None,320797245.02546024,3.9166666666666665,50880000.0,0.5981626521008265,0.5981626521008264,9853.051770487737,749.8069704877328,0.9870627972536687,False
171,10.200::BAT-5,10.2,BAT-5,354985470.85010165,3.6666666666666665,53040000.0,0.664448774776776,0.664448774776776,8227.716042473454,0.0,1.0487542220820234,True
172,10.200::BAT-10,10.2,BAT-10,354985470.85010165,3.6666666666666665,53040000.0,0.664448774776776,0.664448774776776,8227.716042473454,0.0,1.0487542220820234,False
173,10.200::BAT-15,10.2,BAT-15,354985470.85010165,3.6666666666666665,53040000.0,0.664448774776776,0.664448774776776,8227.716042473454,0.0,1.0487542220820234,False
174,10.200::BAT-20,10.2,BAT-20,354985470.85010165,3.6666666666666665,53040000.0,0.664448774776776,0.664448774776776,8227.716042473454,0.0,1.0487542220820234,False
175,10.200::BAT-21,10.2,BAT-21,354985470.85010165,3.6666666666666665,53040000.0,0.664448774776776,0.664448774776776,8227.716042473454,0.0,1.0487542220820234,False
176,10.200::BAT-22,10.2,BAT-22,354985470.85010165,3.6666666666666665,53040000.0,0.664448774776776,0.664448774776776,8227.716042473454,0.0,1.0487542220820234,False
177,10.200::BAT-23,10.2,BAT-23,354985470.85010165,3.6666666666666665,53040000.0,0.664448774776776,0.664448774776776,8227.716042473454,0.0,1.0487542220820234,False
178,10.200::BAT-24,10.2,BAT-24,354985470.85010165,3.6666666666666665,53040000.0,0.664448774776776,0.664448774776776,8227.716042473454,0.0,1.0487542220820234,False
179,10.200::BAT-25,10.2,BAT-25,354985470.85010165,3.6666666666666665,53040000.0,0.664448774776776,0.664448774776776,8227.716042473454,0.0,1.0487542220820234,False
