kWp,battery,NPV,peak_ratio,filtered,best_battery
9.0,BAT-26,269855468.1820478,0.9253713700803871,ok,False
9.0,BAT-27,269855468.1820478,0.9253713700803871,ok,False
9.0,BAT-28,269855468.1820478,0.9253713700803871,ok,False
9.0,BAT-29,269855468.1820478,0.9253713700803871,ok,False
9.0,BAT-30,269855468.1820478,0.9253713700803871,ok,False
9.0,BAT-31,269855468.1820478,0.9253713700803871,ok,False
9.0,BAT-32,269855468.1820478,0.9253713700803871,ok,False
9.6,None,280863392.860128,0.9870627947524128,ok,False
9.6,BAT-5,287673327.6195357,0.9870627947524128,ok,True
9.6,BAT-10,287673327.6195357,0.9870627947524128,ok,False
9.6,BAT-15,287673327.6195357,0.9870627947524128,ok,False
9.6,BAT-20,287673327.6195357,0.9870627947524128,ok,False
9.6,BAT-21,287673327.6195357,0.9870627947524128,ok,False
9.6,BAT-22,287673327.6195357,0.9870627947524128,ok,False
9.6,BAT-23,287673327.6195357,0.9870627947524128,ok,False
9.6,BAT-24,287673327.6195357,0.9870627947524128,ok,False
9.6,BAT-25,287673327.6195357,0.9870627947524128,ok,False
9.6,BAT-26,287673327.6195357,0.9870627947524128,ok,False
9.6,BAT-27,287673327.6195357,0.9870627947524128,ok,False
9.6,BAT-28,287673327.6195357,0.9870627947524128,ok,False
9.6,BAT-29,287673327.6195357,0.9870627947524128,ok,False
9.6,BAT-30,287673327.6195357,0.9870627947524128,ok,False
9.6,BAT-31,287673327.6195357,0.9870627947524128,ok,False
9.6,BAT-32,287673327.6195357,0.9870627947524128,ok,False
10.8,None,314045581.96581763,1.1104456440964645,ok,False
10.8,BAT-5,324155583.7028337,1.1104456440964645,ok,False
10.8,BAT-10,324174889.8790974,1.1104456440964645,ok,True
10.8,BAT-15,324174889.8790974,1.1104456440964645,ok,False
10.8,BAT-20,324174889.8790974,1.1104456440964645,ok,False
10.8,BAT-21,324174889.8790974,1.1104456440964645,ok,False
10.8,BAT-22,324174889.8790974,1.1104456440964645,ok,False
10.8,BAT-23,324174889.8790974,1.1104456440964645,ok,False
10.8,BAT-24,324174889.8790974,1.1104456440964645,ok,False
10.8,BAT-25,324174889.8790974,1.1104456440964645,ok,False
10.8,BAT-26,324174889.8790974,1.1104456440964645,ok,False
10.8,BAT-27,324174889.8790974,1.1104456440964645,ok,False
10.8,BAT-28,324174889.8790974,1.1104456440964645,ok,False
10.8,BAT-29,324174889.8790974,1.1104456440964645,ok,False
10.8,BAT-30,324174889.8790974,1.1104456440964645,ok,False
10.8,BAT-31,324174889.8790974,1.1104456440964645,ok,False
10.8,BAT-32,324174889.8790974,1.1104456440964645,ok,False
12.0,None,343417498.0439183,1.2338284934405164,ok,False
12.0,BAT-5,358233249.84581953,1.2338284934405164,ok,False
12.0,BAT-10,359160703.38917017,1.2338284934405164,ok,False
12.0,BAT-15,359178610.90052456,1.2338284934405164,ok,True
12.0,BAT-20,359178610.90052456,1.2338284934405164,ok,False
12.0,BAT-21,359178610.90052456,1.2338284934405164,ok,False
12.0,BAT-22,359178610.90052456,1.2338284934405164,ok,False
12.0,BAT-23,359178610.90052456,1.2338284934405164,ok,False
12.0,BAT-24,359178610.90052456,1.2338284934405164,ok,False
12.0,BAT-25,359178610.90052456,1.2338284934405164,ok,False
12.0,BAT-26,359178610.90052456,1.2338284934405164,ok,False
12.0,BAT-27,359178610.90052456,1.2338284934405164,ok,False
12.0,BAT-28,359178610.90052456,1.2338284934405164,ok,False
12.0,BAT-29,359178610.90052456,1.2338284934405164,ok,False
12.0,BAT-30,359178610.90052456,1.2338284934405164,ok,False
12.0,BAT-31,359178610.90052456,1.2338284934405164,ok,False
12.0,BAT-32,359178610.90052456,1.2338284934405164,ok,False
12.6,None,356497677.1674926,1.295519918112542,ok,False
12.6,BAT-5,373940110.5769722,1.295519918112542,ok,False
12.6,BAT-10,376198805.462684,1.295519918112542,ok,False
