kWp,battery,NPV,peak_ratio,filtered,best_battery
15.6,BAT-23,43244131.860889636,1.6039770455372122,ok,False
15.6,BAT-24,43244131.860889636,1.6039770455372122,ok,False
15.6,BAT-25,43244131.860889636,1.6039770455372122,ok,False
15.6,BAT-26,43244131.860889636,1.6039770455372122,ok,False
15.6,BAT-20,43236383.515562184,1.6039770455372122,ok,False
15.6,BAT-21,43236383.515562184,1.6039770455372122,ok,False
15.6,BAT-15,42558776.28708801,1.6039770455372122,ok,False
15.6,BAT-10,37191273.857441686,1.6039770455372122,ok,False
15.6,BAT-5,31242689.208028175,1.6039770455372122,ok,False
15.6,None,23843086.081083935,1.6039770455372122,ok,False
16.2,BAT-30,42920840.86333761,1.6656684703655666,ok,True
16.2,BAT-31,42920840.863337606,1.6656684703655666,ok,False
16.2,BAT-32,42920840.863337606,1.6656684703655666,ok,False
16.2,BAT-29,42920317.574080616,1.6656684703655666,ok,False
16.2,BAT-24,42907795.46430397,1.6656684703655666,ok,False
16.2,BAT-25,42907795.46430397,1.6656684703655666,ok,False
16.2,BAT-26,42907795.46430397,1.6656684703655666,ok,False
16.2,BAT-27,42906362.66457184,1.6656684703655666,ok,False
16.2,BAT-28,42906085.95993537,1.6656684703655666,ok,False
16.2,BAT-20,42902165.86871556,1.6656684703655666,ok,False
16.2,BAT-21,42902165.86871556,1.6656684703655666,ok,False
16.2,BAT-22,42901761.35039691,1.6656684703655666,ok,False
16.2,BAT-23,42901761.35039691,1.6656684703655666,ok,False
16.2,BAT-15,41673563.81486344,1.6656684703655666,ok,False
16.2,BAT-10,35746226.74244654,1.6656684703655666,ok,False
16.2,BAT-5,29797642.093033057,1.6656684703655666,ok,False
16.2,None,22381921.796051025,1.6656684703655666,ok,False
16.8,BAT-30,41861677.268124,1.7273598951939209,ok,True
16.8,BAT-31,41861677.268124,1.7273598951939209,ok,False
16.8,BAT-32,41861677.268124,1.7273598951939209,ok,False
16.8,BAT-29,41847651.347454086,1.7273598951939209,ok,False
16.8,BAT-26,41845988.345953055,1.7273598951939209,ok,False
16.8,BAT-27,41845988.345953055,1.7273598951939209,ok,False
16.8,BAT-28,41845988.345953055,1.7273598951939209,ok,False
16.8,BAT-24,41837772.818580076,1.7273598951939209,ok,False
16.8,BAT-25,41837103.335414946,1.7273598951939209,ok,False
16.8,BAT-21,41831218.79875878,1.7273598951939209,ok,False
16.8,BAT-22,41831218.79875878,1.7273598951939209,ok,False
16.8,BAT-20,41831218.798758775,1.7273598951939209,ok,False
16.8,BAT-23,41831218.798758775,1.7273598951939209,ok,False
16.8,BAT-15,40113548.49218057,1.7273598951939209,ok,False
16.8,BAT-10,34164963.84276709,1.7273598951939209,ok,False
16.8,BAT-5,28216379.193353575,1.7273598951939209,ok,False
16.8,None,20769158.518323537,1.7273598951939209,ok,False
17.4,BAT-20,40067282.920262724,1.7890513200222753,ok,True
