scan_order,candidate_key,kWp,battery,NPV_COP,payback_years,capex_client,self_consumption_ratio,self_sufficiency_ratio,annual_import_kwh,annual_export_kwh,peak_ratio,best_battery_for_kwp
87,16.200::BAT-10,16.2,BAT-10,35746226.74244654,3.25,66420000.0,0.9145778633738494,0.9145778633738493,2094.5507900732155,3201.1421995056908,1.6656684703655666,False
86,16.200::BAT-5,16.2,BAT-5,29797642.093033057,3.5,66420000.0,0.8510327191833459,0.8510327191833459,3652.6777256243595,4932.394350118073,1.6656684703655666,False
85,16.200::None,16.2,None,22381921.796051025,3.75,66420000.0,0.7717292942422146,0.7717292942422147,5597.197705180895,7092.97210518089,1.6656684703655666,False
116,16.800::BAT-30,16.8,BAT-30,41861677.268124,3.1666666666666665,68880000.0,1.0,1.0,0.0,1852.8816289177985,1.7273598951939209,True
117,16.800::BAT-31,16.8,BAT-31,41861677.268124,3.1666666666666665,68880000.0,1.0,1.0,0.0,1852.8816289177985,1.7273598951939209,False
118,16.800::BAT-32,16.8,BAT-32,41861677.268124,3.1666666666666665,68880000.0,1.0,1.0,0.0,1852.8816289178026,1.7273598951939209,False
115,16.800::BAT-29,16.8,BAT-29,41847651.347454086,3.1666666666666665,68880000.0,1.0,1.0,0.0,1852.8816289177985,1.7273598951939209,False
112,16.800::BAT-26,16.8,BAT-26,41845988.345953055,3.1666666666666665,68880000.0,1.0,1.0,0.0,1852.881628917799,1.7273598951939209,False
113,16.800::BAT-27,16.8,BAT-27,41845988.345953055,3.1666666666666665,68880000.0,1.0,1.0,0.0,1852.8816289177985,1.7273598951939209,False
114,16.800::BAT-28,16.8,BAT-28,41845988.345953055,3.1666666666666665,68880000.0,1.0,1.0,0.0,1852.8816289177985,1.7273598951939209,False
110,16.800::BAT-24,16.8,BAT-24,41837772.818580076,3.1666666666666665,68880000.0,1.0,1.0,0.0,1852.881628917799,1.7273598951939209,False
111,16.800::BAT-25,16.8,BAT-25,41837103.335414946,3.1666666666666665,68880000.0,1.0,1.0,0.0,1852.8816289177985,1.7273598951939209,False
107,16.800::BAT-21,16.8,BAT-21,41831218.79875878,3.1666666666666665,68880000.0,0.9997017980012083,0.9997017980012082,7.311913010375524,1852.881628917801,1.7273598951939209,False
108,16.800::BAT-22,16.8,BAT-22,41831218.79875878,3.1666666666666665,68880000.0,0.9997017980012083,0.9997017980012082,7.311913010375524,1852.8816289178003,1.7273598951939209,False
106,16.800::BAT-20,16.8,BAT-20,41831218.798758775,3.1666666666666665,68880000.0,0.9997017980012083,0.9997017980012082,7.311913010375524,1852.8816289178008,1.7273598951939209,False
